name,kana,lat,lng,value
八森,ﾊﾁﾓﾘ,40.41,139.95,11.5
藤里,ﾌｼﾞｻﾄ,40.32,140.29,25
陣場,ｼﾞﾝﾊﾞ,40.4,140.61,35.5
藤原,ﾌｼﾞﾜﾗ,40.35,140.78,56
能代,ﾉｼﾛ,40.2,140.03,8.5
鷹巣,ﾀｶﾉｽ,40.23,140.37,23
大館,ｵｵﾀﾞﾃ,40.25,140.51,25.5
鹿角,ｶﾂﾞﾉ,40.22,140.79,33
脇神,ﾜｷｶﾞﾐ,40.19,140.37,33
湯瀬,ﾕｾﾞ,40.12,140.84,33.5
八幡平,ﾊﾁﾏﾝﾀｲ,40.01,140.8,51
男鹿真山,ｵｶﾞｼﾝｻﾞﾝ,39.94,139.78,22.5
男鹿,ｵｶﾞ,39.91,139.9,18
大潟,ｵｵｶﾞﾀ,40,139.95,18.5
五城目,ｺﾞｼﾞｮｳﾒ,39.94,140.12,14.5
阿仁合,ｱﾆｱｲ,39.99,140.4,52.5
比立内,ﾋﾀﾁﾅｲ,39.9,140.45,42.5
桧木内,ﾋﾉｷﾅｲ,39.81,140.59,86
秋田,ｱｷﾀ,39.72,140.1,23
岩見三内,ｲﾜﾐｻﾝﾅｲ,39.71,140.29,26
仁別,ﾆﾍﾞﾂ,39.8,140.22,28
鎧畑,ﾖﾛｲﾊﾞﾀ,39.78,140.67,45.5
田沢湖高原,ﾀｻﾞﾜｺｺｳｹﾞﾝ,39.78,140.76,60
雄和,ﾕｳﾜ,39.62,140.22,22
角館,ｶｸﾉﾀﾞﾃ,39.6,140.56,23
田沢湖,ﾀｻﾞﾜｺ,39.7,140.73,30
大正寺,ﾀﾞｲｼｮｳｼﾞ,39.53,140.23,19
大曲,ｵｵﾏｶﾞﾘ,39.49,140.5,18.5
本荘,ﾎﾝｼﾞｮｳ,39.36,140.06,20.5
東由利,ﾋｶﾞｼﾕﾘ,39.31,140.29,19.5
横手,ﾖｺﾃ,39.32,140.56,18.5
にかほ,ﾆｶﾎ,39.26,139.91,19
矢島,ﾔｼﾏ,39.24,140.14,19
笹子,ｼﾞﾈｺﾞ,39.1,140.29,30
湯沢,ﾕｻﾞﾜ,39.19,140.46,18
東成瀬,ﾋｶﾞｼﾅﾙｾ,39.18,140.65,24.5
湯の岱,ﾕﾉﾀｲ,38.96,140.53,48.5
飛島,ﾄﾋﾞｼﾏ,39.18,139.54,83
酒田,ｻｶﾀ,38.91,139.84,288
酒田大沢,ｻｶﾀｵｵｻﾜ,38.97,140,345.5
差首鍋,ｻｽﾅﾍﾞ,38.92,140.2,354
浜中,ﾊﾏﾅｶ,38.81,139.79,203.5
金山,ｶﾈﾔﾏ,38.88,140.33,171.5
鶴岡,ﾂﾙｵｶ,38.74,139.83,214.5
狩川,ｶﾘｶﾜ,38.8,139.97,264.5
新庄,ｼﾝｼﾞｮｳ,38.76,140.31,361
瀬見,ｾﾐ,38.76,140.41,333.5
向町,ﾑｶｲﾏﾁ,38.76,140.52,253
櫛引,ｸｼﾋﾞｷ,38.67,139.85,152
肘折,ﾋｼﾞｵﾘ,38.61,140.16,212.5
尾花沢,ｵﾊﾞﾅｻﾞﾜ,38.61,140.41,148.5
鼠ケ関,ﾈｽﾞｶﾞｾｷ,38.57,139.55,99
荒沢,ｱﾗｻﾜ,38.51,139.78,134
村山,ﾑﾗﾔﾏ,38.46,140.35,84.5
東根,ﾋｶﾞｼﾈ,38.41,140.37,66
大井沢,ｵｵｲｻﾜ,38.39,139.99,100
左沢,ｱﾃﾗｻﾞﾜ,38.37,140.19,87
山形,ﾔﾏｶﾞﾀ,38.26,140.35,93
長井,ﾅｶﾞｲ,38.11,140.02,160.5
上山中山,ｶﾐﾉﾔﾏﾅｶﾔﾏ,38.12,140.21,89
小国,ｵｸﾞﾆ,38.08,139.74,133
高畠,ﾀｶﾊﾀ,38,140.21,81
中津川,ﾅｶﾂｶﾞﾜ,37.91,139.84,67
高峰,ﾀｶﾐﾈ,37.99,139.95,36
米沢,ﾖﾈｻﾞﾜ,37.91,140.14,18.5
駒ノ湯,ｺﾏﾉﾕ,38.91,140.83,77
気仙沼,ｹｾﾝﾇﾏ,38.91,141.56,17
鴬沢,ｳｸﾞｲｽｻﾞﾜ,38.81,140.95,60
川渡,ｶﾜﾀﾋﾞ,38.74,140.76,81.5
築館,ﾂｷﾀﾞﾃ,38.74,141.01,76
米山,ﾖﾈﾔﾏ,38.63,141.19,60
志津川,ｼﾂﾞｶﾞﾜ,38.68,141.45,43.5
加美,ｶﾐ,38.57,140.73,104.5
古川,ﾌﾙｶﾜ,38.6,140.91,75.5
雄勝,ｵｶﾞﾂ,38.52,141.47,36
泉ケ岳,ｲｽﾞﾐｶﾞﾀﾞｹ,38.41,140.72,58
大衡,ｵｵﾋﾗ,38.47,140.89,52.5
鹿島台,ｶｼﾏﾀﾞｲ,38.46,141.09,43
石巻,ｲｼﾉﾏｷ,38.43,141.3,31
女川,ｵﾅｶﾞﾜ,38.45,141.45,24.5
新川,ﾆｯｶﾜ,38.3,140.64,65
塩釜,ｼｵｶﾞﾏ,38.34,141.01,36.5
仙台,ｾﾝﾀﾞｲ,38.26,140.9,42.5
名取,ﾅﾄﾘ,38.14,140.92,73.5
白石,ｼﾛｲｼ,38.02,140.61,31
蔵王,ｻﾞｵｳ,38.13,140.68,69.5
亘理,ﾜﾀﾘ,38.03,140.86,24.5
丸森,ﾏﾙﾓﾘ,37.93,140.78,15.5
筆甫,ﾋｯﾎﾟ,37.83,140.73,10
種市,ﾀﾈｲﾁ,40.4,141.7,21
軽米,ｶﾙﾏｲ,40.33,141.47,18
二戸,ﾆﾉﾍ,40.3,141.3,17
大野,ｵｵﾉ,40.28,141.67,11.5
山形,ﾔﾏｶﾞﾀ,40.15,141.57,9
久慈,ｸｼﾞ,40.17,141.75,7.5
荒屋,ｱﾗﾔ,40.1,141.05,56.5
奥中山,ｵｸﾅｶﾔﾏ,40.06,141.23,38
葛巻,ｸｽﾞﾏｷ,40.04,141.46,23.5
下戸鎖,ｼﾓﾄｸｻﾘ,40.08,141.71,5.5
普代,ﾌﾀﾞｲ,40,141.88,8
岩手松尾,ｲﾜﾃﾏﾂｵ,39.95,141.07,43
一方井,ｲｯｶﾀｲ,39.97,141.17,33.5
好摩,ｺｳﾏ,39.87,141.17,34.5
岩泉,ｲﾜｲｽﾞﾐ,39.85,141.8,4.5
小本,ｵﾓﾄ,39.85,141.96,4
葛根田,ｶｯｺﾝﾀﾞ,39.78,140.95,128.5
滝沢,ﾀｷｻﾞﾜ,39.78,141.1,94
