pref,name,kana,lat,lng,value
岐阜,河合,ｶﾜｲ,36.31,137.1,528.5
岐阜,神岡,ｶﾐｵｶ,36.32,137.31,478.5
岐阜,白川,ｼﾗｶﾜ,36.27,136.9,330.5
岐阜,栃尾,ﾄﾁｵ,36.25,137.5,427
岐阜,御母衣,ﾐﾎﾞﾛ,36.15,136.91,912.5
岐阜,清見,ｷﾖﾐ,36.18,137.05,730.5
岐阜,高山,ﾀｶﾔﾏ,36.16,137.25,685.5
岐阜,丹生川,ﾆｭｳｶﾜ,36.19,137.37,499
岐阜,ひるがの,ﾋﾙｶﾞﾉ,36.01,136.89,1214.5
岐阜,六厩,ﾑﾏﾔ,36.06,137.04,867.5
岐阜,船山,ﾌﾅﾔﾏ,36.04,137.26,804
岐阜,宮之前,ﾐﾔﾉﾏｴ,36.02,137.39,409
岐阜,長滝,ﾅｶﾞﾀｷ,35.92,136.83,1193.5
岐阜,萩原,ﾊｷﾞﾜﾗ,35.89,137.21,885.5
岐阜,関市板取,ｾｷｼｲﾀﾄﾞﾘ,35.72,136.78,1161
岐阜,八幡,ﾊﾁﾏﾝ,35.76,136.98,874
岐阜,宮地,ﾐﾔｼﾞ,35.76,137.29,600.5
岐阜,樽見,ﾀﾙﾐ,35.64,136.6,1142.5
岐阜,金山,ｶﾅﾔﾏ,35.66,137.16,575.5
岐阜,付知,ﾂｹﾁ,35.66,137.43,437.5
岐阜,美濃,ﾐﾉ,35.56,136.91,478
岐阜,伽藍,ｶﾞﾗﾝ,35.52,137.23,318.5
岐阜,黒川,ｸﾛｶﾜ,35.6,137.32,364.5
岐阜,揖斐川,ｲﾋﾞｶﾞﾜ,35.49,136.57,559
岐阜,美濃加茂,ﾐﾉｶﾓ,35.45,137.01,324
岐阜,恵那,ｴﾅ,35.45,137.4,183
岐阜,中津川,ﾅｶﾂｶﾞﾜ,35.48,137.49,183.5
岐阜,関ケ原,ｾｷｶﾞﾊﾗ,35.36,136.47,439.5
岐阜,大垣,ｵｵｶﾞｷ,35.35,136.62,358.5
岐阜,岐阜,ｷﾞﾌ,35.4,136.76,323
岐阜,多治見,ﾀｼﾞﾐ,35.35,137.11,221
岐阜,上石津,ｶﾐｲｼﾂﾞ,35.25,136.46,385.5
