name,kana,lat,lng,value
小呂島,ｵﾛﾉｼﾏ,33.86,130.04,778.5
宗像,ﾑﾅｶﾀ,33.81,130.54,714
八幡,ﾔﾊﾀ,33.85,130.74,643.5
空港北町,ｸｳｺｳｷﾀﾏﾁ,33.85,131.04,632.5
東谷,ﾋｶﾞｼﾀﾆ,33.78,130.87,619.5
行橋,ﾕｸﾊｼ,33.71,130.98,702
飯塚,ｲｲﾂﾞｶ,33.65,130.69,663
前原,ﾏｴﾊﾞﾙ,33.56,130.19,711
福岡,ﾌｸｵｶ,33.58,130.38,740
福岡,ﾌｸｵｶ,33.58,130.38,740
博多,ﾊｶﾀ,33.58,130.45,667
太宰府,ﾀﾞｻﾞｲﾌ,33.5,130.49,790
添田,ｿｴﾀﾞ,33.56,130.86,948.5
早良脇山,ｻﾜﾗﾜｷﾔﾏ,33.49,130.35,836.5
朝倉,ｱｻｸﾗ,33.41,130.7,1149.5
英彦山,ﾋｺｻﾝ,33.49,130.92,1308.5
久留米,ｸﾙﾒ,33.3,130.49,1153
耳納山,ﾐﾉｳｻﾝ,33.29,130.63,1309.5
黒木,ｸﾛｷﾞ,33.23,130.65,1238.5
柳川,ﾔﾅｶﾞﾜ,33.16,130.4,1145
大牟田,ｵｵﾑﾀ,33.01,130.47,1295.5
国見,ｸﾆﾐ,33.68,131.59,627.5
中津,ﾅｶﾂ,33.59,131.25,803.5
豊後高田,ﾌﾞﾝｺﾞﾀｶﾀﾞ,33.57,131.43,667.5
耶馬渓,ﾔﾊﾞｹｲ,33.45,131.12,1007.5
院内,ｲﾝﾅｲ,33.42,131.32,740.5
杵築,ｷﾂｷ,33.42,131.6,689
武蔵,ﾑｻｼ,33.48,131.74,587
日田,ﾋﾀ,33.32,130.93,1034
玖珠,ｸｽ,33.29,131.16,893
湯布院,ﾕﾌｲﾝ,33.25,131.35,796
大分,ｵｵｲﾀ,33.24,131.62,631
佐賀関,ｻｶﾞﾉｾｷ,33.25,131.87,478
椿ヶ鼻,ﾂﾊﾞｷｶﾞﾊﾅ,33.19,130.92,1714.5
臼杵,ｳｽｷ,33.13,131.8,458.5
犬飼,ｲﾇｶｲ,33.07,131.63,487.5
